entity_id,feature1,feature2,target
user_1,7.55,3.86,0
user_2,8.62,3.35,0
user_3,7.55,3.83,0
user_4,6.97,3.15,0
user_5,5.73,3.1,0
user_6,9.63,5.88,1
user_7,5.75,4.95,0
user_8,5.18,4.15,0
user_9,7.44,3.9,0
user_0,8.01,5.69,1
user_1,8.7,3.28,0
user_2,9.75,4.75,1
user_3,5.21,4.2,0
user_4,8.13,4.14,1
user_5,7.71,4.6,1
user_6,6.17,4.86,0
user_7,6.07,3.54,0
user_8,6.65,4.77,0
user_9,6.77,5.38,1
user_0,9.67,5.72,1
user_1,6.9,5.12,1
user_2,7.37,3.45,0
user_3,7.41,5.78,1
user_4,7.07,3.26,0
user_5,6.76,5.86,1
user_6,9.73,3.21,1
user_7,8.85,4.72,1
user_8,8.83,3.25,1
user_9,5.78,5.4,0
user_0,9.98,5.63,1
user_1,6.64,5.23,0
user_2,7.88,4.81,1
user_3,6.44,5.14,0
user_4,7.33,4.91,1
user_5,5.81,5.81,0
user_6,5.59,4.35,0
user_7,5.2,5.98,0
user_8,6.27,4.14,0
user_9,7.81,4.36,1
user_0,5.81,4.77,0
user_1,9.67,5.68,1
user_2,8.36,4.85,1
user_3,6.79,3.86,0
user_4,6.42,3.63,0
user_5,7.41,3.33,0
user_6,7.93,3.76,0
user_7,5.03,4.89,0
user_8,6.7,5.75,1
user_9,7.75,5.37,1
user_0,9.94,3.8,1
user_1,9.09,5.77,1
user_2,8.63,3.69,1
user_3,6.03,4.1,0
user_4,7.93,4.38,1
user_5,9.53,3.86,1
user_6,9.86,3.1,1
user_7,6.0,5.4,0
user_8,9.04,3.89,1
user_9,7.93,4.25,1
user_0,9.44,5.8,1
user_1,9.27,4.84,1
user_2,8.22,4.51,1
user_3,9.4,3.27,1
user_4,9.4,4.63,1
user_5,9.73,3.23,1
user_6,8.94,3.97,1
user_7,8.5,3.25,0
user_8,6.63,3.86,0
user_9,9.91,4.32,1
user_0,5.49,5.98,0
user_1,8.42,3.77,1
user_2,9.06,3.11,1
user_3,9.25,4.51,1
user_4,9.73,4.15,1
user_5,5.61,4.6,0
user_6,5.84,3.75,0
user_7,5.98,5.72,0
user_8,7.43,4.24,0
user_9,7.26,5.52,1
user_0,5.53,3.72,0
user_1,6.22,5.96,1
user_2,5.11,3.23,0
user_3,7.8,3.87,0
user_4,9.8,5.97,1
user_5,8.81,4.67,1
user_6,7.81,4.06,0
user_7,9.18,5.72,1
user_8,5.21,4.18,0
user_9,9.1,3.28,1
user_0,9.15,3.3,1
user_1,7.19,5.76,1
user_2,7.31,5.92,1
user_3,9.82,5.8,1
user_4,9.43,3.03,1
user_5,5.81,5.55,0
user_6,6.97,4.51,0
user_7,5.41,4.11,0
user_8,8.22,3.75,0
user_9,6.55,5.51,1
user_0,5.43,4.87,0
